캐릭터,스킬,항목,변경전,변경후,패치버전
돌격 소총,과열(D),공격 속도 증가,20/30/40%,30/40/50%,10.7
가넷,억누른 고통(W),받는 피해 감소,55%,50%,10.7
나딘,,기본 공격력,35,33,10.7
나타폰,,카메라 무기 숙련도 레벨 당 스킬 증폭,4.3%,4.4%,10.7
라우라,날카로운 꽃(Q),피해량,50/75/100/125/150(+스킬 증폭의 60%),50/75/100/125/150(+스킬 증폭의 55%),10.7
레니,스프링! 트랩(R),쿨다운,20/16/12초,20/17/14초,10.7
리 다이린,,글러브 무기 숙련도 레벨 당 기본 공격 증폭,1.8%,1.9%,10.7
마이,오뜨꾸뛰르(P),기본 공격 추가 피해량,30(+추가 체력의 4/7/10%),30(+추가 체력의 5/8/11%),10.7
마커스,,레벨 당 체력,97,94,10.7
마커스,파괴(W),쿨다운,12/11/10/9/8초,13/12/11/10/9초,10.7
매그너스,17대 1(W),피해량,16/22/28/34/40(+추가 공격력의 50%)(+스킬 증폭의 18%)(+적 최대 체력의 2.5%),16/22/28/34/40(+추가 공격력의 45%)(+스킬 증폭의 18%)(+적 최대 체력의 2.5%),10.7
미르카,,기본 체력,930,960,10.7
쇼우,식사 시간(W),방어력 증가 지속 시간,2초,2.5초,10.7
실비아,기동전(R),방어력 증가,15/20/25,14/18/22,10.7
아비게일,티어링 블레이드(P),방어력 감소,4/8/12,4/7/10,10.7
아비게일,워프 슬래시(E),피해량,80/100/120/140/160(+스킬 증폭의 40%),70/85/100/115/130(+스킬 증폭의 40%),10.7
아야,2연발(Q),피해량,40/70/100/130/160(+공격력의 30%)(+스킬 증폭의 70%),40/70/100/130/160(+공격력의 30%)(+스킬 증폭의 65%),10.7
알론소,마그네틱 펀치(Q),기절 지속 시간,0.85초,0.9초,10.7
에이든,뇌격(Q),피해량,60/90/120/150/180(+공격력의 75%) * (기본 공격 증폭),70/100/130/160/190(+공격력의 75%) * (기본 공격 증폭),10.7
에이든,전자포(과전하 Q),피해량,60/90/120/150/180(+공격력의 75%) * (기본 공격 증폭),70/100/130/160/190(+공격력의 75%) * (기본 공격 증폭),10.7
일레븐,힘내자고!(P),일레븐 버거 체력 회복량,최대 체력의 3/5/7%,2/4/6%,10.7
칼라,작살 장전(P),완전 충전시 피해량,10/25/40(+공격력의 100%)(+스킬 증폭의 25%)(+대상 최대 체력의 4/7/10%),10/25/40(+공격력의 100%)(+스킬 증폭의 25%)(+대상 최대 체력의 4/8/12%),10.7
케네스,분노의 일격(Q),피해량,30/40/50/60/70(+공격력의 150/155/160/165/170%),30/40/50/60/70(+공격력의 165/170/175/180/185%),10.7
코렐라인,진실의 거울/거짓의 거울(W),스킬 증폭 증가,4/6/8%,3/5/7%,10.7
코렐라인,죄의 굴레(E),거울 강화 시 투사체 속도,15m/s,13/ms,10.7
클로에,,기본 공격력,35,32,10.7
키아라,부정의 손길(Q),체력 회복량,10/13/16/19/22(+스킬 증폭의 3%),13/16/19/22/25(+스킬 증폭의 4%),10.7
타지아,스틸레토(Q),피해량,30/55/80/105/130(+스킬 증폭의 40%),30/60/90/120/150(+스킬 증폭의 40%),10.7
타지아,스틸레토(Q),스파다(강화 Q) 피해량,30/55/80/105/130(+스킬 증폭의 50%),30/60/90/120/150(+스킬 증폭의 50%),10.7
테오도르,에너지 필드(R),이동 속도 증가,60/80/100%(+스킬 증폭의 2%),50/70/90%(+스킬 증폭의 2%),10.7
펜리르,,레벨 당 공격력,4.6,4.8,10.7
프리야,개화의 선율(Q),만개 피해량,60/80/100/120/140(+스킬 증폭의 55%),60/80/100/120/140(+스킬 증폭의 60%),10.7
프리야,포르타멘토(W),피해량,60/100/140/180/220(+스킬 증폭의 60%),60/100/140/180/220(+스킬 증폭의 65%),10.7
하트,,기본 방어력,49,51,10.7
헤이즈,산탄 포화(W),피해량,80/120/160/200/240(+스킬 증폭의 70%),80/120/160/200/240(+스킬 증폭의 75%),10.7
헨리,시간 제어 장치(W),피해량,8/16/24/32/40(+스킬 증폭의 20%)(+대상 최대 체력의 1/1/2/2/3%),8/16/24/32/40(+스킬 증폭의 22%)(+대상 최대 체력의 1/1/2/2/3%),10.7
현우,핵펀치(R),방어력 감소,15/20/25%,10/15/20%,10.7
혜진,오대존명왕진(R),부적 피해량,80/115/150(+스킬 증폭의 50%),80/105/130(+스킬 증폭의 50%),10.7
붉은 별빛,옷,공격력,15,18,10.7
수정 티아라,머리,공격 속도,15%,20%,10.7
미스릴 투구,머리,방어력,16,15,10.7
빛의 증표,머리,공격 속도,22%,25%,10.7
2단계 인퓨전 - 라이프 백,,보호막 획득량,800,700,10.7
2단계 인퓨전 - 라이프 백,,보호막이 유지되는 동안 이동 속도 증가,8%,7%,10.7
2단계 인퓨전 - 지진파,,쿨다운,3초,2.5초,10.7
3레벨 인퓨전 - 롤링썬더,,충돌 피해량,400,500,10.7
3레벨 인퓨전 - 산울림,,공격력 감소,10%,8%,10.7
르노어,기타 사용 시,입히는 피해량,84%,85%,10.7
르노어,,받는 피해량,102%,100%,10.7
미르카,망치 사용 시,받는 피해량,104%,102%,10.7
버니스,저격총 사용 시,입히는 피해량,92%,94%,10.7
수아,방망이 사용 시,입히는 피해량,102%,100%,10.7
아야,돌격 소총 사용 시,입히는 피해량,92%,90%,10.7
아야,저격총 사용 시,받는 피해량,94%,96%,10.7
유민,아르카나 사용 시,입히는 피해량,96%,95%,10.7
이렘,투척 사용 시,받는 피해량,88%,90%,10.7
츠바메,암기 사용 시,입히는 피해량,92%,94%,10.7
카밀로,레이피어 사용 시,받는 피해량,94%,92%,10.7
프리야,기타 사용 시,받는 피해량,92%,90%,10.7
헤이즈,돌격 소총 사용 시,입히는 피해량,91%,90%,10.7
히스이,양손검 사용 시,받는 피해량,90%,88%,10.7
코렐라인,,아르카나 무기 숙련도 레벨 당 스킬 증폭,4.2%,4%,10.6c
가격 인하,,코렐라인의 A-Coin 구매 가격,"9,900","8,020개",10.6
가넷,짓뭉개기&꿰뚫기(Q),이동 속도 감소,35%,40%,10.6
가넷,억누른 고통(W),쿨다운,15/14/13/12/11초,14/13/12/11/10초,10.6
라우라,,채찍 무기 숙련도 레벨 당 공격 속도,2.8%,3.3%,10.6
라우라,황혼의 도둑(R),폭발 피해량,180/260/340(+스킬 증폭의 85%),180/260/340(+스킬 증폭의 90%),10.6
라우라,황혼의 도둑(R),보호막량,90/120/150(+스킬 증폭의 15%),90/120/150(+스킬 증폭의 20%),10.6
레니,당근! 바주카(Q),피해량,40/55/70/85/100(+레니 레벨*18)(+스킬 증폭의 30%),40/55/70/85/100(+레니 레벨*18)(+스킬 증폭의 35%),10.6
레니,당근! 바주카(Q),회복량,10/20/30/40/50(+레니 레벨*2)(+스킬 증폭의 18%),10/20/30/40/50(+레니 레벨*2)(+스킬 증폭의 20%),10.6
레온,물보라(W),레온 보호막 흡수량,80/110/140/170/200(+스킬 증폭의 35%),80/110/140/170/200(+스킬 증폭의 40%),10.6
르노어,고통의 선율(P),아첼레란도 중첩 당 쿨다운 감소,2,3,10.6
르노어,고통의 선율(P),쿨다운 감소,40 이후 아첼레란도 중첩 당 궁극기 쿨다운 감소 3,2,10.6
리 다이린,,레벨 당 공격력,4.8,5,10.6
마르티나,일시정지 - 방송 중(W),속박 지속 시간,1초,1.2초,10.6
마이,숄 장막(W),이동 속도 증가,8/11/14/17/20%,10/14/18/22/26%,10.6
바바라,BT-Mk2 센트리건(Q),센트리건 기본 공격 피해량,30/40/50/60/70(+스킬 증폭의 20%),30/40/50/60/70(+스킬 증폭의 18%),10.6
버니스,,기본 공격력,35,37,10.6
셀린,자력 융합(R),피해량,60/80/100/120/140(+스킬 증폭의 36%),60/80/100/120/140(+스킬 증폭의 37%),10.6
쇼이치,비약(W),피해량,40/60/80/100/120(+스킬 증폭의 60%),30/50/70/90/110(+스킬 증폭의 60%),10.6
수아,기억력(R),쿨다운,30/24/18초,26/22/18초,10.6
슈린,,레벨 당 공격력,4.3,4.6,10.6
시셀라,삶은 고통이에요.(P),피해량,30(+스킬 증폭의 40%)(+캐릭터 레벨*9),30(+스킬 증폭의 45%)(+캐릭터 레벨*9),10.6
아디나,폴 디그니티(E),별 컨정션 효과 체력 회복량,20/30/40/50(+스킬 증폭의 4%),20/30/40/50(+스킬 증폭의 6%),10.6
아이솔,,권총 무기 숙련도 레벨 당 스킬 증폭,4.4%,4.5%,10.6
아이작,현장 급습(Q),피해량,30/70/110/150/190(+공격력의 70%),20/60/100/140/180(+공격력의 70%),10.6
알렉스,플라즈마 마인(W),피해량,40/80/120/160/200(+공격력의 80%),40/75/110/145/180(+공격력의 80%),10.6
마무리 피해량,,최소 피해량,100/150/200(+스킬 증폭의 50%)(+추가 체력의 8%),100/150/200(+스킬 증폭의 50%)(+추가 체력의 12%),10.6
마무리 피해량,,최대 피해량,200/300/400(+스킬 증폭의 100%)(+추가 체력의 16%),200/300/400(+스킬 증폭의 100%)(+추가 체력의 24%),10.6
에스텔,헬기호출(R),보호막 흡수량,100/150/200(+스킬 증폭의 50%)(+잃은 체력의 20%),100/150/200(+스킬 증폭의 55%)(+잃은 체력의 20%),10.6
에스텔,헬기호출(R),아군 보호막 흡수량,100/200/300(+스킬 증폭의 50%)(+대상의 잃은 체력의 15%),100/200/300(+스킬 증폭의 55%)(+대상의 잃은 체력의 15%),10.6
에키온,,기본 공격력,39,35,10.6
에키온,VF 폭주(R),독사의 진노[블랙맘바] 피해량,50/120/175/220(+공격력의 80%)(+추가 체력의 10%),50/120/175/220(+공격력의 80%)(+추가 체력의 12%),10.6
엠마,마술 토끼(E),피해량,20/40/60/80/100(+스킬 증폭의 30%),30/55/80/105/130(+스킬 증폭의 30%),10.6
엠마,마술 토끼(E),변이 지속 시간,0.6/0.7/0.8/0.9/1초,0.8/0.85/0.9/0.95/1초,10.6
유키,머리치기!(Q),쿨다운,6초,5초,10.6
이렘,,투척 무기 숙련도 레벨 당 공격 속도,1.6%,2.2%,10.6
이슈트반,관측(Q),피해량,40/80/120/160/200(+공격력의 110%),40/80/120/160/200(+공격력의 100%),10.6
이슈트반,관측(Q),다른 가능성 피해량,40/80/120/160/200(+공격력의 110%),40/80/120/160/200(+공격력의 100%),10.6
츠바메,오의 - 생사 각인(P),피해량,30(+추가 공격력의 45%)(+대상 최대 체력의 4/7/10(+추가 공격력의 4%)%),30(+추가 공격력의 25%)(+대상 최대 체력의 4/7/10(+추가 공격력의 4%)%),10.6
카밀로,,레이피어 무기 숙련도 레벨 당 기본 공격 증폭,1.5%,1.4%,10.6
캐시,,기본 체력,940,970,10.6
코렐라인,단죄의 섬광(Q),피해량,50/90/130/170/210(+스킬 증폭의 75%),50/90/130/170/210(+스킬 증폭의 80%),10.6
코렐라인,죄의 굴레(E),백경 피해량,80/110/140/170/200(+스킬 증폭의 70%),80/110/140/170/200(+스킬 증폭의 65%),10.6
코렐라인,죄의 굴레(E),흑경 피해량,80/110/140/170/200(+스킬 증폭의 70%),80/110/140/170/200(+스킬 증폭의 65%),10.6
코렐라인,죄의 굴레(E),흑경 방어력 감소량,12/13/14/15/16%,10/11/12/13/14%,10.6
클로에,살아 있는 마리오네트(P),니나 부활 시 클로에 체력 소모량 현재 체력의,30%,20%,10.6
키아라,뒤틀린 기도(W),최소 보호막량,90/110/130/150/170(+스킬 증폭의 50%),110/130/150/170/190(+스킬 증폭의 50%),10.6
키아라,뒤틀린 기도(W),최대 보호막량,135/165/195/225/255(+스킬 증폭의 75%),165/195/225/255/285(+스킬 증폭의 75%),10.6
펜리르,,레벨 당 체력,92,94,10.6
펜리르,먹잇감 추적(W),본능적 후퇴(W2) 피해량,20/40/60/80/100(+공격력의 60%),30/55/80/105/130(+공격력의 60%),10.6
프리야,포르타멘토(W),아군 이동 속도 증가,10/11/12/13/14%,8/9/10/11/12%,10.6
프리야,대지의 메아리(R),받는 피해 감소,50%,40%,10.6
피오라,,레이피어 무기 숙련도 레벨 당 스킬 증폭,4.3%,4.2%,10.6
현우,,톤파 무기 숙련도 레벨 당 스킬 증폭,4.3%,4.5%,10.6
현우,허세(W),방어력 증가,14/23/32/41/50(+방어력 10당 1),14/21/28/35/42(+방어력 10당 1),10.6
응집,,이동 속도 감소,60%,50%,10.6
권총,,글록,48 공격력 70,68,10.6
권총,,플라즈마 건 공격력,82,80,10.6
도끼,,저거너트 공격력,72,75,10.6
팬텀 자켓,옷,방어력,42,40,10.6
천상의 메아리,머리,스킬 증폭,78,80,10.6
예언자의 터번,머리,스킬 증폭,82,85,10.6
쿤달라,머리,스킬 증폭,75,80,10.6
천사의 고리,머리,공격력,38,36,10.6
내면의 분노,머리,공격력 증가,8%,10%,10.6
소드 스토퍼,머리,방어력,15,13,10.6
가시지네 견갑,머리,방어력,18,16,10.6
에메랄드 타블렛,머리,스킬 증폭,87,85,10.6
에메랄드 타블렛,머리,쿨다운 감소,15,20,10.6
방어 관통 증가,머리,10,,12,10.6
크레딧 획득량,머리,20,,25,10.6
,,,1레벨 인퓨전 90%,80%,10.6
,,,2레벨 인퓨전 5%,10%,10.6
,,,3레벨 인퓨전 5%,10%,10.6
,,,2레벨 인퓨전 50%,70%,10.6
,,,3레벨 인퓨전 50%,30%,10.6
,,,2레벨 인퓨전 10%,30%,10.6
,,,3레벨 인퓨전 90%,70%,10.6
1레벨 인퓨전 - 치명타 피해,,치명타 피해 증가량,15%,18%,10.6
2레벨 인퓨전 - 가시 덤불,,치유 효과 감소,40%,50%,10.6
2레벨 인퓨전 - 대용량 충전지,,방어 관통 증가,10,12,10.6
2레벨 인퓨전 - 대용량 충전지,,최대 체력 증가,200,250,10.6
2레벨 인퓨전 - 불굴,,보호막량 캐릭터 레벨*50,,캐릭터 레벨*60,10.6
2레벨 인퓨전 - 수확,,모든 피해 흡혈 증가,25%,30%,10.6
2레벨 인퓨전 - 오버워치,,쿨다운 감소,15,25,10.6
